REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1958-07-01,Nova Scotia,2016A000212,v9,4,710000
1958-07-01,New Brunswick,2016A000213,v10,5,572000
1958-07-01,Quebec,2016A000224,v11,6,4915000
1958-07-01,Ontario,2016A000235,v12,7,5835000
1958-07-01,Manitoba,2016A000246,v13,8,877000
1958-07-01,Saskatchewan,2016A000247,v14,9,894000
1958-07-01,Alberta,2016A000248,v15,10,1211000
1958-07-01,British Columbia,2016A000259,v3,11,1540000
1958-07-01,Yukon,2016A000260,v4,12,13000
1958-07-01,Northwest Territories including Nunavut,,v5,13,20000
1958-10-01,Canada,2016A000011124,v1,1,17225000
1958-10-01,Newfoundland and Labrador,2016A000210,v2,2,435000
1958-10-01,Prince Edward Island,2016A000211,v8,3,101000
1958-10-01,Nova Scotia,2016A000212,v9,4,713000
1958-10-01,New Brunswick,2016A000213,v10,5,574000
1958-10-01,Quebec,2016A000224,v11,6,4947000
1958-10-01,Ontario,2016A000235,v12,7,5874000
1958-10-01,Manitoba,2016A000246,v13,8,881000
1958-10-01,Saskatchewan,2016A000247,v14,9,898000
1958-10-01,Alberta,2016A000248,v15,10,1221000
1958-10-01,British Columbia,2016A000259,v3,11,1548000
1958-10-01,Yukon,2016A000260,v4,12,13000
1958-10-01,Northwest Territories including Nunavut,,v5,13,20000
1959-01-01,Canada,2016A000011124,v1,1,17318000
1959-01-01,Newfoundland and Labrador,2016A000210,v2,2,437000
1959-01-01,Prince Edward Island,2016A000211,v8,3,101000
1959-01-01,Nova Scotia,2016A000212,v9,4,716000
1959-01-01,New Brunswick,2016A000213,v10,5,577000
1959-01-01,Quebec,2016A000224,v11,6,4974000
1959-01-01,Ontario,2016A000235,v12,7,5907000
1959-01-01,Manitoba,2016A000246,v13,8,883000
1959-01-01,Saskatchewan,2016A000247,v14,9,900000
1959-01-01,Alberta,2016A000248,v15,10,1233000
1959-01-01,British Columbia,2016A000259,v3,11,1556000
1959-01-01,Yukon,2016A000260,v4,12,13000
1959-01-01,Northwest Territories including Nunavut,,v5,13,21000
1959-04-01,Canada,2016A000011124,v1,1,17406000
1959-04-01,Newfoundland and Labrador,2016A000210,v2,2,439000
1959-04-01,Prince Edward Island,2016A000211,v8,3,101000
1959-04-01,Nova Scotia,2016A000212,v9,4,718000
1959-04-01,New Brunswick,2016A000213,v10,5,580000
1959-04-01,Quebec,2016A000224,v11,6,5002000
1959-04-01,Ontario,2016A000235,v12,7,5938000
1959-04-01,Manitoba,2016A000246,v13,8,888000
1959-04-01,Saskatchewan,2016A000247,v14,9,903000
1959-04-01,Alberta,2016A000248,v15,10,1241000
1959-04-01,British Columbia,2016A000259,v3,11,1562000
1959-04-01,Yukon,2016A000260,v4,12,13000
1959-04-01,Northwest Territories including Nunavut,,v5,13,21000
1959-07-01,Canada,2016A000011124,v1,1,17522000
1959-07-01,Newfoundland and Labrador,2016A000210,v2,2,441000
1959-07-01,Prince Edward Island,2016A000211,v8,3,102000
1959-07-01,Nova Scotia,2016A000212,v9,4,720000
1959-07-01,New Brunswick,2016A000213,v10,5,583000
1959-07-01,Quebec,2016A000224,v11,6,5035000
1959-07-01,Ontario,2016A000235,v12,7,5985000
1959-07-01,Manitoba,2016A000246,v13,8,892000
1959-07-01,Saskatchewan,2016A000247,v14,9,908000
1959-07-01,Alberta,2016A000248,v15,10,1252000
1959-07-01,British Columbia,2016A000259,v3,11,1570000
1959-07-01,Yukon,2016A000260,v4,12,13000
1959-07-01,Northwest Territories including Nunavut,,v5,13,21000
1959-10-01,Canada,2016A000011124,v1,1,17624000
1959-10-01,Newfoundland and Labrador,2016A000210,v2,2,443000
1959-10-01,Prince Edward Island,2016A000211,v8,3,102000
1959-10-01,Nova Scotia,2016A000212,v9,4,722000
1959-10-01,New Brunswick,2016A000213,v10,5,584000
1959-10-01,Quebec,2016A000224,v11,6,5068000
1959-10-01,Ontario,2016A000235,v12,7,6020000
1959-10-01,Manitoba,2016A000246,v13,8,896000
1959-10-01,Saskatchewan,2016A000247,v14,9,912000
1959-10-01,Alberta,2016A000248,v15,10,1263000
1959-10-01,British Columbia,2016A000259,v3,11,1580000
1959-10-01,Yukon,2016A000260,v4,12,13000
1959-10-01,Northwest Territories including Nunavut,,v5,13,21000
1960-01-01,Canada,2016A000011124,v1,1,17710000
1960-01-01,Newfoundland and Labrador,2016A000210,v2,2,445000
1960-01-01,Prince Edward Island,2016A000211,v8,3,103000
1960-01-01,Nova Scotia,2016A000212,v9,4,722000
1960-01-01,New Brunswick,2016A000213,v10,5,585000
1960-01-01,Quebec,2016A000224,v11,6,5092000
1960-01-01,Ontario,2016A000235,v12,7,6054000
1960-01-01,Manitoba,2016A000246,v13,8,900000
1960-01-01,Saskatchewan,2016A000247,v14,9,911000
1960-01-01,Alberta,2016A000248,v15,10,1274000
1960-01-01,British Columbia,2016A000259,v3,11,1589000
1960-01-01,Yukon,2016A000260,v4,12,14000
1960-01-01,Northwest Territories including Nunavut,,v5,13,21000
1960-04-01,Canada,2016A000011124,v1,1,17793000
1960-04-01,Newfoundland and Labrador,2016A000210,v2,2,447000
1960-04-01,Prince Edward Island,2016A000211,v8,3,103000
1960-04-01,Nova Scotia,2016A000212,v9,4,725000
1960-04-01,New Brunswick,2016A000213,v10,5,587000
1960-04-01,Quebec,2016A000224,v11,6,5119000
1960-04-01,Ontario,2016A000235,v12,7,6083000
1960-04-01,Manitoba,2016A000246,v13,8,903000
1960-04-01,Saskatchewan,2016A000247,v14,9,912000
1960-04-01,Alberta,2016A000248,v15,10,1282000
